algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Shift-And,10000000,2,6,14765,0,10
Shift-And,10000000,2,7,14765,0,12
Shift-And,10000000,2,8,14765,0,11
Shift-And,10000000,2,9,14765,0,11
Weak Boyer Moore,10000000,2,0,14903,0,21
Weak Boyer Moore,10000000,2,1,14903,0,20
Weak Boyer Moore,10000000,2,2,14903,0,19
Weak Boyer Moore,10000000,2,3,14903,0,21
Weak Boyer Moore,10000000,2,4,14903,0,21
Weak Boyer Moore,10000000,2,5,14903,0,20
Weak Boyer Moore,10000000,2,6,14903,0,19
Weak Boyer Moore,10000000,2,7,14903,0,20
Weak Boyer Moore,10000000,2,8,14903,0,19
Weak Boyer Moore,10000000,2,9,14903,0,20
Weak Memorizing Boyer Moore,10000000,2,0,14903,0,26
Weak Memorizing Boyer Moore,10000000,2,1,14903,0,27
Weak Memorizing Boyer Moore,10000000,2,2,14903,0,26
Weak Memorizing Boyer Moore,10000000,2,3,14903,0,27
Weak Memorizing Boyer Moore,10000000,2,4,14903,0,29
Weak Memorizing Boyer Moore,10000000,2,5,14903,0,27
Weak Memorizing Boyer Moore,10000000,2,6,14903,0,26
Weak Memorizing Boyer Moore,10000000,2,7,14903,0,29
Weak Memorizing Boyer Moore,10000000,2,8,14903,0,26
Weak Memorizing Boyer Moore,10000000,2,9,14903,0,26
Weak Turbo Boyer Moore,10000000,2,0,14903,0,28
Weak Turbo Boyer Moore,10000000,2,1,14903,0,30
Weak Turbo Boyer Moore,10000000,2,2,14903,0,29
Weak Turbo Boyer Moore,10000000,2,3,14903,0,30
Weak Turbo Boyer Moore,10000000,2,4,14903,0,29
Weak Turbo Boyer Moore,10000000,2,5,14903,0,31
Weak Turbo Boyer Moore,10000000,2,6,14903,0,33
Weak Turbo Boyer Moore,10000000,2,7,14903,0,29
Weak Turbo Boyer Moore,10000000,2,8,14903,0,29
Weak Turbo Boyer Moore,10000000,2,9,14903,0,29
Naive,10000000,2,0,14903,0,32
Naive,10000000,2,1,14903,0,31
Naive,10000000,2,2,14903,0,30
Naive,10000000,2,3,14903,0,32
Naive,10000000,2,4,14903,0,30
Naive,10000000,2,5,14903,0,28
Naive,10000000,2,6,14903,0,31
Naive,10000000,2,7,14903,0,30
Naive,10000000,2,8,14903,0,29
Naive,10000000,2,9,14903,0,31
KMP,10000000,2,0,14903,0,29
KMP,10000000,2,1,14903,0,26
KMP,10000000,2,2,14903,0,27
KMP,10000000,2,3,14903,0,27
KMP,10000000,2,4,14903,0,34
KMP,10000000,2,5,14903,0,31
KMP,10000000,2,6,14903,0,30
KMP,10000000,2,7,14903,0,29
KMP,10000000,2,8,14903,0,28
KMP,10000000,2,9,14903,0,27
Horspool,10000000,2,0,14903,0,20
Horspool,10000000,2,1,14903,0,19
Horspool,10000000,2,2,14903,0,20
Horspool,10000000,2,3,14903,0,23
Horspool,10000000,2,4,14903,0,19
Horspool,10000000,2,5,14903,0,22
Horspool,10000000,2,6,14903,0,21
Horspool,10000000,2,7,14903,0,22
Horspool,10000000,2,8,14903,0,20
Horspool,10000000,2,9,14903,0,20
Shift-And,10000000,2,0,14903,0,8
Shift-And,10000000,2,1,14903,0,10
Shift-And,10000000,2,2,14903,0,9
Shift-And,10000000,2,3,14903,0,9
Shift-And,10000000,2,4,14903,0,9
Shift-And,10000000,2,5,14903,0,9
Shift-And,10000000,2,6,14903,0,9
Shift-And,10000000,2,7,14903,0,10
Shift-And,10000000,2,8,14903,0,11
Shift-And,10000000,2,9,14903,0,10
Weak Boyer Moore,10000000,2,0,14842,0,19
Weak Boyer Moore,10000000,2,1,14842,0,19
Weak Boyer Moore,10000000,2,2,14842,0,22
Weak Boyer Moore,10000000,2,3,14842,0,20
Weak Boyer Moore,10000000,2,4,14842,0,25
Weak Boyer Moore,10000000,2,5,14842,0,21
Weak Boyer Moore,10000000,2,6,14842,0,19
Weak Boyer Moore,10000000,2,7,14842,0,20
Weak Boyer Moore,10000000,2,8,14842,0,20
Weak Boyer Moore,10000000,2,9,14842,0,21
Weak Memorizing Boyer Moore,10000000,2,0,14842,0,29
Weak Memorizing Boyer Moore,10000000,2,1,14842,0,28
Weak Memorizing Boyer Moore,10000000,2,2,14842,0,29
Weak Memorizing Boyer Moore,10000000,2,3,14842,0,31
Weak Memorizing Boyer Moore,10000000,2,4,14842,0,26
Weak Memorizing Boyer Moore,10000000,2,5,14842,0,28
Weak Memorizing Boyer Moore,10000000,2,6,14842,0,27
Weak Memorizing Boyer Moore,10000000,2,7,14842,0,31
Weak Memorizing Boyer Moore,10000000,2,8,14842,0,30
Weak Memorizing Boyer Moore,10000000,2,9,14842,0,41
Weak Turbo Boyer Moore,10000000,2,0,14842,0,34
Weak Turbo Boyer Moore,10000000,2,1,14842,0,35
Weak Turbo Boyer Moore,10000000,2,2,14842,0,35
Weak Turbo Boyer Moore,10000000,2,3,14842,0,35
Weak Turbo Boyer Moore,10000000,2,4,14842,0,36
Weak Turbo Boyer Moore,10000000,2,5,14842,0,31
Weak Turbo Boyer Moore,10000000,2,6,14842,0,33
Weak Turbo Boyer Moore,10000000,2,7,14842,0,35
Weak Turbo Boyer Moore,10000000,2,8,14842,0,33
Weak Turbo Boyer Moore,10000000,2,9,14842,0,28
Naive,10000000,2,0,14842,0,29
Naive,10000000,2,1,14842,0,33
Naive,10000000,2,2,14842,0,33
Naive,10000000,2,3,14842,0,30
Naive,10000000,2,4,14842,0,30
Naive,10000000,2,5,14842,0,30
Naive,10000000,2,6,14842,0,30
Naive,10000000,2,7,14842,0,32
Naive,10000000,2,8,14842,0,31
Naive,10000000,2,9,14842,0,33
KMP,10000000,2,0,14842,0,27
KMP,10000000,2,1,14842,0,27
KMP,10000000,2,2,14842,0,27
KMP,10000000,2,3,14842,0,39
KMP,10000000,2,4,14842,0,28
KMP,10000000,2,5,14842,0,27
KMP,10000000,2,6,14842,0,28
KMP,10000000,2,7,14842,0,29
KMP,10000000,2,8,14842,0,26
KMP,10000000,2,9,14842,0,29
Horspool,10000000,2,0,14842,0,20
Horspool,10000000,2,1,14842,0,21
Horspool,10000000,2,2,14842,0,19
Horspool,10000000,2,3,14842,0,20
Horspool,10000000,2,4,14842,0,23
Horspool,10000000,2,5,14842,0,21
Horspool,10000000,2,6,14842,0,20
Horspool,10000000,2,7,14842,0,22
Horspool,10000000,2,8,14842,0,21
Horspool,10000000,2,9,14842,0,20
Shift-And,10000000,2,0,14842,0,9
Shift-And,10000000,2,1,14842,0,10
Shift-And,10000000,2,2,14842,0,10
Shift-And,10000000,2,3,14842,0,10
Shift-And,10000000,2,4,14842,0,9
Shift-And,10000000,2,5,14842,0,9
Shift-And,10000000,2,6,14842,0,9
Shift-And,10000000,2,7,14842,0,8
Shift-And,10000000,2,8,14842,0,9
Shift-And,10000000,2,9,14842,0,8
Weak Boyer Moore,10000000,2,0,14904,0,18
Weak Boyer Moore,10000000,2,1,14904,0,21
Weak Boyer Moore,10000000,2,2,14904,0,22
Weak Boyer Moore,10000000,2,3,14904,0,20
Weak Boyer Moore,10000000,2,4,14904,0,19
Weak Boyer Moore,10000000,2,5,14904,0,19
Weak Boyer Moore,10000000,2,6,14904,0,22
Weak Boyer Moore,10000000,2,7,14904,0,25
Weak Boyer Moore,10000000,2,8,14904,0,23
Weak Boyer Moore,10000000,2,9,14904,0,21
Weak Memorizing Boyer Moore,10000000,2,0,14904,0,31
Weak Memorizing Boyer Moore,10000000,2,1,14904,0,30
Weak Memorizing Boyer Moore,10000000,2,2,14904,0,27
Weak Memorizing Boyer Moore,10000000,2,3,14904,0,31
Weak Memorizing Boyer Moore,10000000,2,4,14904,0,28
Weak Memorizing Boyer Moore,10000000,2,5,14904,0,28
Weak Memorizing Boyer Moore,10000000,2,6,14904,0,28
Weak Memorizing Boyer Moore,10000000,2,7,14904,0,29
Weak Memorizing Boyer Moore,10000000,2,8,14904,0,27
