algorithm,pattern_length,inspections
Weak Turbo Boyer Moore,3,370700
Weak Boyer Moore,3,370770
Weak Memorizing Boyer Moore,3,370770
Weak Turbo Boyer Moore,3,370770
Weak Boyer Moore,3,371759
Weak Memorizing Boyer Moore,3,371759
Weak Turbo Boyer Moore,3,371759
Weak Boyer Moore,3,373010
Weak Memorizing Boyer Moore,3,373010
Weak Turbo Boyer Moore,3,373010
Weak Boyer Moore,3,372525
Weak Memorizing Boyer Moore,3,372525
Weak Turbo Boyer Moore,3,372525
Weak Boyer Moore,3,371922
Weak Memorizing Boyer Moore,3,371922
Weak Turbo Boyer Moore,3,371922
Weak Boyer Moore,3,372205
Weak Memorizing Boyer Moore,3,372205
Weak Turbo Boyer Moore,3,372205
Weak Boyer Moore,3,371700
Weak Memorizing Boyer Moore,3,371700
Weak Turbo Boyer Moore,3,371700
Weak Boyer Moore,3,371769
Weak Memorizing Boyer Moore,3,371769
Weak Turbo Boyer Moore,3,371769
Weak Boyer Moore,3,372177
Weak Memorizing Boyer Moore,3,372177
Weak Turbo Boyer Moore,3,372177
Weak Boyer Moore,3,371776
Weak Memorizing Boyer Moore,3,371776
Weak Turbo Boyer Moore,3,371776
Weak Boyer Moore,3,372348
Weak Memorizing Boyer Moore,3,372348
Weak Turbo Boyer Moore,3,372348
Weak Boyer Moore,3,210733
Weak Memorizing Boyer Moore,3,203779
Weak Turbo Boyer Moore,3,203779
Weak Boyer Moore,3,372369
Weak Memorizing Boyer Moore,3,372369
Weak Turbo Boyer Moore,3,372369
Weak Boyer Moore,3,372446
Weak Memorizing Boyer Moore,3,372446
Weak Turbo Boyer Moore,3,372446
Weak Boyer Moore,3,372389
Weak Memorizing Boyer Moore,3,372389
Weak Turbo Boyer Moore,3,372389
Weak Boyer Moore,3,372098
Weak Memorizing Boyer Moore,3,372098
Weak Turbo Boyer Moore,3,372098
Weak Boyer Moore,3,372129
Weak Memorizing Boyer Moore,3,372129
Weak Turbo Boyer Moore,3,372129
Weak Boyer Moore,3,371817
Weak Memorizing Boyer Moore,3,371817
Weak Turbo Boyer Moore,3,371817
Weak Boyer Moore,3,371215
Weak Memorizing Boyer Moore,3,371215
Weak Turbo Boyer Moore,3,371215
Weak Boyer Moore,3,372306
Weak Memorizing Boyer Moore,3,372306
Weak Turbo Boyer Moore,3,372306
Weak Boyer Moore,3,372222
Weak Memorizing Boyer Moore,3,372222
Weak Turbo Boyer Moore,3,372222
Weak Boyer Moore,3,209546
Weak Memorizing Boyer Moore,3,202587
Weak Turbo Boyer Moore,3,202587
Weak Boyer Moore,3,372436
Weak Memorizing Boyer Moore,3,372436
Weak Turbo Boyer Moore,3,372436
Weak Boyer Moore,3,370969
Weak Memorizing Boyer Moore,3,370969
Weak Turbo Boyer Moore,3,370969
Weak Boyer Moore,3,372908
Weak Memorizing Boyer Moore,3,372908
Weak Turbo Boyer Moore,3,372908
Weak Boyer Moore,3,371252
Weak Memorizing Boyer Moore,3,371252
Weak Turbo Boyer Moore,3,371252
Weak Boyer Moore,3,372262
Weak Memorizing Boyer Moore,3,372262
Weak Turbo Boyer Moore,3,372262
Weak Boyer Moore,4,358829
Weak Memorizing Boyer Moore,4,358829
Weak Turbo Boyer Moore,4,358829
Weak Boyer Moore,4,357636
Weak Memorizing Boyer Moore,4,357636
Weak Turbo Boyer Moore,4,357636
Weak Boyer Moore,4,358644
Weak Memorizing Boyer Moore,4,358644
Weak Turbo Boyer Moore,4,358644
Weak Boyer Moore,4,358758
Weak Memorizing Boyer Moore,4,358758
Weak Turbo Boyer Moore,4,358758
Weak Boyer Moore,4,358934
Weak Memorizing Boyer Moore,4,358934
Weak Turbo Boyer Moore,4,358934
Weak Boyer Moore,4,358618
Weak Memorizing Boyer Moore,4,358618
Weak Turbo Boyer Moore,4,358618
