algorithm,pattern_length,inspections
Weak Boyer Moore,5,1807093
Weak Memorizing Boyer Moore,5,1620716
Weak Turbo Boyer Moore,5,1620716
Weak Boyer Moore,5,1301748
Weak Memorizing Boyer Moore,5,1196388
Weak Turbo Boyer Moore,5,1196388
Weak Boyer Moore,5,1938397
Weak Memorizing Boyer Moore,5,1925069
Weak Turbo Boyer Moore,5,1856836
Weak Boyer Moore,5,2355891
Weak Memorizing Boyer Moore,5,2283703
Weak Turbo Boyer Moore,5,2283703
Weak Boyer Moore,5,1301651
Weak Memorizing Boyer Moore,5,1196291
Weak Turbo Boyer Moore,5,1196291
Weak Boyer Moore,5,1807720
Weak Memorizing Boyer Moore,5,1621343
Weak Turbo Boyer Moore,5,1621343
Weak Boyer Moore,5,1297713
Weak Memorizing Boyer Moore,5,1193033
Weak Turbo Boyer Moore,5,1193033
Weak Boyer Moore,5,2059739
Weak Memorizing Boyer Moore,5,2054194
Weak Turbo Boyer Moore,5,2054194
Weak Boyer Moore,5,1802021
Weak Memorizing Boyer Moore,5,1802021
Weak Turbo Boyer Moore,5,1802021
Weak Boyer Moore,5,2054599
Weak Memorizing Boyer Moore,5,2049049
Weak Turbo Boyer Moore,5,2049049
Weak Boyer Moore,5,1803733
Weak Memorizing Boyer Moore,5,1803733
Weak Turbo Boyer Moore,5,1803733
Weak Boyer Moore,5,2058718
Weak Memorizing Boyer Moore,5,2053064
Weak Turbo Boyer Moore,5,2053064
Weak Boyer Moore,5,2357213
Weak Memorizing Boyer Moore,5,2284451
Weak Turbo Boyer Moore,5,2284451
Weak Boyer Moore,5,1887262
Weak Memorizing Boyer Moore,5,1690163
Weak Turbo Boyer Moore,5,1690163
Weak Boyer Moore,5,1803263
Weak Memorizing Boyer Moore,5,1803263
Weak Turbo Boyer Moore,5,1803263
Weak Boyer Moore,5,1797994
Weak Memorizing Boyer Moore,5,1611058
Weak Turbo Boyer Moore,5,1611058
Weak Boyer Moore,5,1802947
Weak Memorizing Boyer Moore,5,1802947
Weak Turbo Boyer Moore,5,1802947
Weak Boyer Moore,5,2161759
Weak Memorizing Boyer Moore,5,2145578
Weak Turbo Boyer Moore,5,2145578
Weak Boyer Moore,5,2057768
Weak Memorizing Boyer Moore,5,2052082
Weak Turbo Boyer Moore,5,2052082
Weak Boyer Moore,5,1800389
Weak Memorizing Boyer Moore,5,1613946
Weak Turbo Boyer Moore,5,1613946
Weak Boyer Moore,5,1936554
Weak Memorizing Boyer Moore,5,1923708
Weak Turbo Boyer Moore,5,1855409
Weak Boyer Moore,5,1799479
Weak Memorizing Boyer Moore,5,1799479
Weak Turbo Boyer Moore,5,1799479
Weak Boyer Moore,5,2056455
Weak Memorizing Boyer Moore,5,2050855
Weak Turbo Boyer Moore,5,2050855
Weak Boyer Moore,5,1961478
Weak Memorizing Boyer Moore,5,1947223
Weak Turbo Boyer Moore,5,1933581
Weak Boyer Moore,5,1807448
Weak Memorizing Boyer Moore,5,1621071
Weak Turbo Boyer Moore,5,1621071
Weak Boyer Moore,5,940196
Weak Memorizing Boyer Moore,5,899576
Weak Turbo Boyer Moore,5,899576
Weak Boyer Moore,5,1925914
Weak Memorizing Boyer Moore,5,1879082
Weak Turbo Boyer Moore,5,1820389
Weak Boyer Moore,5,1804292
Weak Memorizing Boyer Moore,5,1617356
Weak Turbo Boyer Moore,5,1617356
Weak Boyer Moore,5,2362609
Weak Memorizing Boyer Moore,5,2290074
Weak Turbo Boyer Moore,5,2290074
Weak Boyer Moore,5,1802654
Weak Memorizing Boyer Moore,5,1802654
Weak Turbo Boyer Moore,5,1802654
Weak Boyer Moore,5,2060325
Weak Memorizing Boyer Moore,5,2054729
Weak Turbo Boyer Moore,5,2054729
Weak Boyer Moore,5,1964857
Weak Memorizing Boyer Moore,5,1950564
Weak Turbo Boyer Moore,5,1936842
Weak Boyer Moore,5,1926760
Weak Memorizing Boyer Moore,5,1880088
Weak Turbo Boyer Moore,5,1821677
Weak Boyer Moore,5,1802418
Weak Memorizing Boyer Moore,5,1802418
Weak Turbo Boyer Moore,5,1802418
Weak Boyer Moore,5,2365797
Weak Memorizing Boyer Moore,5,2293085
Weak Turbo Boyer Moore,5,2293085
Weak Boyer Moore,5,2497370
Weak Memorizing Boyer Moore,5,2418339
Weak Turbo Boyer Moore,5,2418339
Weak Boyer Moore,5,2059065
Weak Memorizing Boyer Moore,5,2053359
Weak Turbo Boyer Moore,5,2053359
Weak Boyer Moore,5,2356245
Weak Memorizing Boyer Moore,5,2283714
Weak Turbo Boyer Moore,5,2283714
Weak Boyer Moore,5,1926652
Weak Memorizing Boyer Moore,5,1879880
Weak Turbo Boyer Moore,5,1821696
Weak Boyer Moore,5,2058197
Weak Memorizing Boyer Moore,5,2052637
Weak Turbo Boyer Moore,5,2052637
Weak Boyer Moore,5,1801268
Weak Memorizing Boyer Moore,5,1801268
Weak Turbo Boyer Moore,5,1801268
Weak Boyer Moore,5,1301909
Weak Memorizing Boyer Moore,5,1196177
Weak Turbo Boyer Moore,5,1196177
Weak Boyer Moore,5,2056350
Weak Memorizing Boyer Moore,5,2050741
Weak Turbo Boyer Moore,5,2050741
Weak Boyer Moore,5,1800108
Weak Memorizing Boyer Moore,5,1800108
Weak Turbo Boyer Moore,5,1800108
Weak Boyer Moore,5,1798096
Weak Memorizing Boyer Moore,5,1610961
Weak Turbo Boyer Moore,5,1610961
Weak Boyer Moore,5,1885640
Weak Memorizing Boyer Moore,5,1689165
Weak Turbo Boyer Moore,5,1689165
Weak Boyer Moore,5,1806427
Weak Memorizing Boyer Moore,5,1619292
Weak Turbo Boyer Moore,5,1619292
Weak Boyer Moore,5,1924434
Weak Memorizing Boyer Moore,5,1878226
Weak Turbo Boyer Moore,5,1820031
