algorithm,pattern_length,inspections
Weak Memorizing Boyer Moore,7,4948990
Weak Turbo Boyer Moore,7,4490969
Weak Boyer Moore,7,5027863
Weak Memorizing Boyer Moore,7,4564063
Weak Turbo Boyer Moore,7,4253583
Weak Boyer Moore,7,5160325
Weak Memorizing Boyer Moore,7,5011201
Weak Turbo Boyer Moore,7,4561774
Weak Boyer Moore,7,4311457
Weak Memorizing Boyer Moore,7,3827478
Weak Turbo Boyer Moore,7,3827478
Weak Boyer Moore,7,3986826
Weak Memorizing Boyer Moore,7,3538436
Weak Turbo Boyer Moore,7,3538436
Weak Boyer Moore,7,4372336
Weak Memorizing Boyer Moore,7,4187799
Weak Turbo Boyer Moore,7,3936415
Weak Boyer Moore,7,4636593
Weak Memorizing Boyer Moore,7,4347236
Weak Turbo Boyer Moore,7,3854979
Weak Boyer Moore,7,4649251
Weak Memorizing Boyer Moore,7,4282787
Weak Turbo Boyer Moore,7,4282787
Weak Boyer Moore,7,5598844
Weak Memorizing Boyer Moore,7,4975326
Weak Turbo Boyer Moore,7,4357845
Weak Boyer Moore,7,5602274
Weak Memorizing Boyer Moore,7,5182426
Weak Turbo Boyer Moore,7,4877642
Weak Boyer Moore,7,5158883
Weak Memorizing Boyer Moore,7,5045082
Weak Turbo Boyer Moore,7,4559005
Weak Boyer Moore,7,3509432
Weak Memorizing Boyer Moore,7,3097883
Weak Turbo Boyer Moore,7,3097883
Weak Boyer Moore,7,3390663
Weak Memorizing Boyer Moore,7,2999147
Weak Turbo Boyer Moore,7,2999147
Weak Boyer Moore,7,4543266
Weak Memorizing Boyer Moore,7,4473552
Weak Turbo Boyer Moore,7,4296066
Weak Boyer Moore,7,4948420
Weak Memorizing Boyer Moore,7,4665528
Weak Turbo Boyer Moore,7,4240289
Weak Boyer Moore,7,4713735
Weak Memorizing Boyer Moore,7,4347588
Weak Turbo Boyer Moore,7,4347588
Weak Boyer Moore,7,4201150
Weak Memorizing Boyer Moore,7,3883654
Weak Turbo Boyer Moore,7,3883654
Weak Boyer Moore,7,3879838
Weak Memorizing Boyer Moore,7,3630703
Weak Turbo Boyer Moore,7,3423531
Weak Boyer Moore,7,4700569
Weak Memorizing Boyer Moore,7,4537213
Weak Turbo Boyer Moore,7,3928510
Weak Boyer Moore,7,4273116
Weak Memorizing Boyer Moore,7,3789067
Weak Turbo Boyer Moore,7,3789067
Weak Boyer Moore,7,4059141
Weak Memorizing Boyer Moore,7,3610751
Weak Turbo Boyer Moore,7,3610751
Weak Boyer Moore,7,4904663
Weak Memorizing Boyer Moore,7,4776428
Weak Turbo Boyer Moore,7,4631317
Weak Boyer Moore,7,5055209
Weak Memorizing Boyer Moore,7,4566679
Weak Turbo Boyer Moore,7,3947091
Weak Boyer Moore,7,5043393
Weak Memorizing Boyer Moore,7,4396101
Weak Turbo Boyer Moore,7,4101006
Weak Boyer Moore,7,4320276
Weak Memorizing Boyer Moore,7,4002780
Weak Turbo Boyer Moore,7,4002780
Weak Boyer Moore,7,4710815
Weak Memorizing Boyer Moore,7,4474509
Weak Turbo Boyer Moore,7,4299899
Weak Boyer Moore,7,4663494
Weak Memorizing Boyer Moore,7,4587650
Weak Turbo Boyer Moore,7,4030741
Weak Boyer Moore,7,2766633
Weak Memorizing Boyer Moore,7,2479439
Weak Turbo Boyer Moore,7,2479439
Weak Boyer Moore,7,2719147
Weak Memorizing Boyer Moore,7,2440276
Weak Turbo Boyer Moore,7,2440276
Weak Boyer Moore,7,4480601
Weak Memorizing Boyer Moore,7,4450163
Weak Turbo Boyer Moore,7,4450163
Weak Boyer Moore,7,4812936
Weak Memorizing Boyer Moore,7,4575470
Weak Turbo Boyer Moore,7,4330242
Weak Boyer Moore,7,5285256
Weak Memorizing Boyer Moore,7,4823030
Weak Turbo Boyer Moore,7,4823030
Weak Boyer Moore,7,4890201
Weak Memorizing Boyer Moore,7,4303224
Weak Turbo Boyer Moore,7,4041253
Weak Boyer Moore,7,5250765
Weak Memorizing Boyer Moore,7,4754967
Weak Turbo Boyer Moore,7,4461140
Weak Boyer Moore,7,5149690
Weak Memorizing Boyer Moore,7,4912148
Weak Turbo Boyer Moore,7,4329424
Weak Boyer Moore,7,4564614
Weak Memorizing Boyer Moore,7,4019533
Weak Turbo Boyer Moore,7,4019533
Weak Boyer Moore,7,4041118
Weak Memorizing Boyer Moore,7,3592728
Weak Turbo Boyer Moore,7,3592728
Weak Boyer Moore,7,4695591
Weak Memorizing Boyer Moore,7,4559641
Weak Turbo Boyer Moore,7,4393585
Weak Boyer Moore,7,3877383
Weak Memorizing Boyer Moore,7,3700947
Weak Turbo Boyer Moore,7,3363572
Weak Boyer Moore,7,5137703
Weak Memorizing Boyer Moore,7,4676039
Weak Turbo Boyer Moore,7,4676039
